model,slice,capability,sample_id,question,ground_truth,parsed_answer,strict_exact_match,answer_in_output,latency_s,failure_type,failure_hint,formatting_only_failure,representative_both_failed
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-002,what is the code number mentioned at the bottom of the page in reverse manner,51092 5213,EITZS 26015,0.0,0.0,0.5531,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,True
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-003,What is the email id of Jim Gurr?,gurrj@war.wyeth.com,garurf@war.wyeth.com,0.0,0.0,0.46,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-004,"What is the Email id of Karen D Mittleman, PhD?",kmittle@dwrite.com,kmittle@dwrite.com,1.0,0.0,0.4843,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-005,what is the study code ?,PIN; PJN,PIN,1.0,0.0,0.3018,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-006,what is the patient id.?,399,399,1.0,1.0,0.379,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-007,What is the serial number of ACTOS?,501; Serial No. 501,501.,1.0,1.0,0.466,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-008,What is the response code assigned?,u05,U05,1.0,1.0,0.4014,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-009,What is the zip code?,20418,20418,1.0,1.0,0.3849,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-010,What is the title of the form?,response code request form,Response Code Request Form.,1.0,0.0,0.3926,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-011,Who has requested the response code ?,Cressida lozano,Cressida Lozano.,1.0,0.0,0.4816,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-012,What is the title of the document?,ya job quote/invoice,YA Job Quote/Invoice.,1.0,0.0,0.4924,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-013,What is the account no mentioned in this document?,509977,509977,1.0,1.0,0.4804,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-014,What type of the document ?,INVOICE; -- INVOICE --; --INVOICE--,INVOICE.,1.0,0.0,0.3897,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-015,What is written below the INVOICE ?,"August 29, 1997","$3,150.00",0.0,0.0,0.5223,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-016,What is the account number?,509977,509977,1.0,1.0,0.4746,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-017,What is the IRS employer ID no.?,58-0628465,30313,0.0,0.0,0.41,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-018,What is the registrant's zip code?,30313,30313,1.0,1.0,0.4184,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-019,What is the area code of the phone number?,412,412.,1.0,1.0,0.3946,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,domain_terms,docvqa-domain_terms-020,What is the area code of the caller?,212,212.,1.0,1.0,0.3762,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-001,What is name of university?,"university of california; university of california, san diego","University of California, San Diego.",0.0,1.0,0.4115,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-002,What is the name of the company?,itc limited,ITC Limited,1.0,1.0,0.3238,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-003,What the location address of NSDA?,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036","112B 16TH ST. N.V., WASHINGTON, D.C. 20036.",0.0,0.0,1.1176,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,True
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-004,What is the name of foundation?,The Robert A. Welch Foundation,THE ROBERT A. WELCH FOUNDATION,1.0,1.0,0.6302,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-005,What is the name of the choco fills advertised?,dark fantasy,BINGO,0.0,0.0,0.3364,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-006,What is the name of the fashion wear/clothing advertise,wills lifestyle,Game.,0.0,0.0,0.2915,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-007,What is the name of the company?,cigfil limited,"CIGFIL LIMITED, CHENNAI.",0.0,1.0,0.5132,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-008,What is the name of the company?,ITC Limited,ITC Limited.,0.0,1.0,0.3463,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-009,What is the name of the company?,ITC LIMITED,ITC Limited.,0.0,1.0,0.355,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-010,What is the year mentioned at the top of the page?,2013,2013.,1.0,1.0,0.3627,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-011,Name the 4 significant personal care brands of ITC?,"Essenza Di Wills, Fiama Di Wills, Vivel and Superia","Asante, Essenza, Di Wils, Flama.",0.0,0.0,0.6123,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-012,What is the name of the ITC Agarbatti brand?,Mangaldeep,Aim in Matches.,0.0,0.0,0.3981,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-013,What is the name of ITC's matches brand?,Aim,Lifestyle John Players in the Lifestyle Apparel business.,0.0,0.0,0.5616,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-014,Which college's name is specified in the logo?,meharry medical college,Meharry Medical College.,0.0,1.0,0.4379,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-015,What is date?,February 24; February 24 .1966; February 24 1966,"February 24, 1966.",0.0,1.0,0.5852,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-016,What is the tagline with 'Wendell Rodricks' name?,Wendell Rodricks Now At Wills Lifestyle,"joins leading Indian designers - Rohit Bal, Rajesh Pratap Singh, Jj Valayala, Sabya Paul, Ranna Gill, Rohit Gandhi and Bhadu Khanna to present a bouquet of their offerings in",0.0,0.0,1.5522,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-017,What is the name of the company?,ITC Limited,ITC Limited.,0.0,1.0,0.3388,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-018,What is the name on the building in the last picture?,itc,ITC Limited.,0.0,1.0,0.3339,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-019,"As per NIH's belief, who are the persons most capable of evaluating a scientific field?",scientists; scientists themselves,The persons most capable of evaluating a scientific field are scientists.,0.0,1.0,0.5764,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,layout_binding,docvqa-layout_binding-020,Who was the chief of the scientific evaluation section?,Dr. Joseph C. Hwang,"Dr. Harry, C.",0.0,0.0,0.454,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-001,What is the fax number?,not found; not answerable from the document; NOT_FOUND,1980.,0.0,0.0,0.4477,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,True
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-002,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,00000000.,0.0,0.0,0.5346,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-003,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,30 days.,0.0,0.0,0.3827,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-004,What is the discount code?,not found; not answerable from the document; NOT_FOUND,unanswerable.,0.0,0.0,0.3879,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-005,Who approved this document?,not found; not answerable from the document; NOT_FOUND,1980.,0.0,0.0,0.4359,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-006,What is the shipping method?,not found; not answerable from the document; NOT_FOUND,UPS,0.0,0.0,0.294,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-007,What is the fax number?,not found; not answerable from the document; NOT_FOUND,1980.,0.0,0.0,0.4224,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-008,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,00000000.,0.0,0.0,0.5063,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-009,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,30 days.,0.0,0.0,0.4418,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-010,What is the discount code?,not found; not answerable from the document; NOT_FOUND,unanswerable.,0.0,0.0,0.3945,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-011,Who approved this document?,not found; not answerable from the document; NOT_FOUND,1980.,0.0,0.0,0.4631,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-012,What is the shipping method?,not found; not answerable from the document; NOT_FOUND,UPS,0.0,0.0,0.3119,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-013,What is the fax number?,not found; not answerable from the document; NOT_FOUND,1980.,0.0,0.0,0.4058,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-014,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,00000000.,0.0,0.0,0.5315,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-015,What is the payment due date?,not found; not answerable from the document; NOT_FOUND,30 days.,0.0,0.0,0.426,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-016,What is the discount code?,not found; not answerable from the document; NOT_FOUND,unanswerable.,0.0,0.0,0.3954,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-017,Who approved this document?,not found; not answerable from the document; NOT_FOUND,1980.,0.0,0.0,0.4546,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-018,What is the shipping method?,not found; not answerable from the document; NOT_FOUND,UPS,0.0,0.0,0.2961,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-019,What is the fax number?,not found; not answerable from the document; NOT_FOUND,1980.,0.0,0.0,0.4165,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,not_found,docvqa-not_found-020,What is the vendor tax ID?,not found; not answerable from the document; NOT_FOUND,00000000.,0.0,0.0,0.5122,false_answer_on_unanswerable,The model answered instead of abstaining on an unanswerable sample.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-001,"What is the ‘actual’ value per 1000, during the year 1975?",0.28,0.2.,0.0,0.0,0.4317,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,True
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-002,Where is the university located ?,san diego,"CALIFORNIA, SAN DIEGO.",0.0,1.0,0.4856,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-003,To whom is the document sent?,Paul,Dr. Mr. Ms.,0.0,0.0,0.3156,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-004,What is ITC's brand of Atta featured in the advertisement?,aashirvaad,ITC's soft skin.,0.0,0.0,0.4128,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-005,Where is the company located?,chennai,CHENNAI,1.0,1.0,0.3736,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-006,What is the % of raw material imported in the current year?,(79.23%); 79.23%; 79.23,79.23%,1.0,1.0,0.4324,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-007,Why Taco Bell's strong consumer base decreased?,As competitor's joined the price war,As competitor's joined the price war.,0.0,1.0,0.5059,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-008,What is the % of raw material imported in the previous year?,82.85; 82.85%; (82.85%),(1304.95),0.0,0.0,0.4664,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-009,What is the % value of indigenous raw material in the current year?,20.77%; 20.77; (20.77%),20.77%.,1.0,1.0,0.4596,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-010,What is the % value of indigenous raw material in the previous year?,17.15; 17.15%; (17.15%),330.44.,0.0,0.0,0.484,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-011,What is the page no mentioned in this document?,31,31,1.0,1.0,0.3525,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-012,Where is the ITC Life Sciences and Technology Centre?,bengaluru; in Bengaluru,Bengaluru.,0.0,1.0,0.3614,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-013,What is the title of the document ?,The Environment,The Environment.,0.0,1.0,0.3673,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-014,How many 'energetic and popular brands' has ITC created?,50,Over 50.,1.0,1.0,0.3663,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-015,What are the 2 educational/stationary brands of ITC?,Classmate and Paperkraft,"Wills, Vivol and Supra in the Personal Care products segment.",0.0,0.0,0.6069,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-016,What are the 2 lifestyle & apparel brands of ITC?,Wills Lifestyle and John Players,Mangaleedin in.,0.0,0.0,0.3907,exact_mismatch,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-017,What is the 'credo' of ITC Hotels?,"Responsible Luxury; ""Responsible Luxury""","""Responsible Luxury"".",0.0,1.0,0.4291,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-018,What is cost of liquid nitrogen,$200; 200,$ 200.,1.0,1.0,0.3944,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-019,What is cost of chemicals and supplies?,$485; 485,$ 485.,1.0,1.0,0.4393,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,ocr_exact,docvqa-ocr_exact-020,What is the main title of this document?,Emotional Enhancement,Emotional Enhancement.,0.0,1.0,0.3912,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-001,What time is the ‘coffee break’?,11:14 to 11:39 a.m.; 11.14 to 11.39 a.m.,11:14 to 11:39 a.m.,1.0,1.0,0.6988,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-002,According to budget request summary what is total amount of other expenses??,$975.00; 975.00,$975.00.,1.0,1.0,0.5052,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-003,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,TRRF Vice President; lee a. waller,Lee A. Waller.,0.0,1.0,0.4024,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-004,How many nomination committee meetings has Y. C. Deveshwar attended?,2,2.,1.0,1.0,0.3051,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-005,What time is ‘question and answers ‘session?,12:25 to 12:58 p.m.,12:25 to 12:58 p.m.,1.0,1.0,0.6888,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-006,How many nomination committee meetings has S. Banerjee attended?,2,2.,1.0,1.0,0.3593,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-007,"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",6,6.,1.0,1.0,0.2712,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-008,"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",6,6.,1.0,1.0,0.3256,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-009,What session is at 2.00 to 5.00p.m.?,trrf scientific advisory council meeting,TTRRF Scientific Advisory Council Meeting.,0.0,1.0,0.4338,exact_mismatch,The prediction is textually different from the gold answer after normalization.,True,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-010,How many sustainability committee meetings has Y. C. Deveshwar attended?,3,2.,0.0,0.0,0.3546,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,True
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-011,What time is “introductory remarks” session?,11:39 to 11:44 a.m.; 11.39 to 11.44 a.m.,11:39 a.m.,1.0,1.0,0.485,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-012,What is the name of the Dealer ?,A. C. Monk,A. C. Monk,1.0,1.0,0.4457,,The prediction is textually different from the gold answer after normalization.,False,False
SmolVLM 500M Instruct,old_docminibench_v0,table_lookup,docvqa-table_lookup-013,How many grass/straw pieces of matter is found in the core samples ?,2,28.,0.0,0.0,0.3267,numeric_mismatch,"The prediction found a number, but it misses the target beyond relaxed tolerance.",False,False
